Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path
ENERGÍA Y AGUA;AUDAX RENOVABLES, S.A.;2018;S1;2018090924;1218;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090924.xbrl
ENERGÍA Y AGUA;AUDAX RENOVABLES, S.A.;2018;S2;2019026856;4284;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026856.xbrl
ENERGÍA Y AGUA;EDP RENOVAVEIS, S.A.;2018;S1;2018091683;8439;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091683.xbrl
ENERGÍA Y AGUA;EDP RENOVAVEIS, S.A.;2018;S2;2019026464;18775;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026464.xbrl
ENERGÍA Y AGUA;ENDESA, S.A.;2018;S1;2018088106;11217;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018088106.xbrl
ENERGÍA Y AGUA;ENDESA, S.A.;2018;S2;2019024902;988;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024902.xbrl
ENERGÍA Y AGUA;IBERDROLA, S.A.;2018;S1;2018092721;4430;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092721.xbrl
ENERGÍA Y AGUA;IBERDROLA, S.A.;2018;S2;2019023725;637;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019023725.xbrl
ENERGÍA Y AGUA;NATURGY ENERGY GROUP, S.A.;2018;S1;2018092677;9142;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092677.xbrl
ENERGÍA Y AGUA;NATURGY ENERGY GROUP, S.A.;2018;S2;2019015863;195;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019015863.xbrl
MINERIA;CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A.;2018;S1;2018084821;1718;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018084821.xbrl
MINERIA;CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A.;2018;S2;2019024909;1304;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024909.xbrl
MINERIA;MINERALES Y PRODUCTOS DERIVADOS, S.A.;2018;S1;2018109849;1383;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018109849.xbrl
MINERIA;MINERALES Y PRODUCTOS DERIVADOS, S.A.;2018;S2;2019025587;621;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025587.xbrl
MINERIA;CEMENTOS MOLINS, S.A.;2018;S1;2018090718;3548;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090718.xbrl
MINERIA;CEMENTOS MOLINS, S.A.;2018;S2;2019026023;1183;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026023.xbrl
MINERIA;VIDRALA, S.A.;2018;S1;2018087570;4567;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018087570.xbrl
MINERIA;VIDRALA, S.A.;2018;S2;2019025045;157;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025045.xbrl
QUÍMICAS;ERCROS, S.A.;2018;S1;2018092963;993;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092963.xbrl
QUÍMICAS;ERCROS, S.A.;2018;S2;2019025924;163;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025924.xbrl
QUÍMICAS;FAES FARMA, S.A.;2018;S1;2018091079;6741;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091079.xbrl
QUÍMICAS;FAES FARMA, S.A.;2018;S2;2019025883;153;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019025883.xbrl
QUÍMICAS;LABORATORIOS FARMACEUTICOS ROVI, S.A.;2018;S1;2018089941;6134;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018089941.xbrl
