Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I2295;I2296;I2297
ENERGÍA Y AGUA;AUDAX RENOVABLES, S.A.;2018;S1;2018090924;1218;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018090924.xbrl;11;7;4
ENERGÍA Y AGUA;AUDAX RENOVABLES, S.A.;2018;S2;2019026856;4284;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026856.xbrl;215;81;134
ENERGÍA Y AGUA;EDP RENOVAVEIS, S.A.;2018;S1;2018091683;8439;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018091683.xbrl;194;112;82
ENERGÍA Y AGUA;EDP RENOVAVEIS, S.A.;2018;S2;2019026464;18775;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019026464.xbrl;189;110;79
ENERGÍA Y AGUA;ENDESA, S.A.;2018;S1;2018088106;11217;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018088106.xbrl;1309;641;668
ENERGÍA Y AGUA;ENDESA, S.A.;2018;S2;2019024902;988;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024902.xbrl;1295;636;659
ENERGÍA Y AGUA;IBERDROLA, S.A.;2018;S1;2018092721;4430;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092721.xbrl;717;390;327
ENERGÍA Y AGUA;IBERDROLA, S.A.;2018;S2;2019023725;637;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019023725.xbrl;723;392;331
ENERGÍA Y AGUA;NATURGY ENERGY GROUP, S.A.;2018;S1;2018092677;9142;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018092677.xbrl;1751;833;918
ENERGÍA Y AGUA;NATURGY ENERGY GROUP, S.A.;2018;S2;2019015863;195;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019015863.xbrl;1706;802;904
MINERIA;CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A.;2018;S1;2018084821;1718;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2018084821.xbrl;None;None;None
MINERIA;CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A.;2018;S2;2019024909;1304;F:\CNMV-IPPWebScraping\data\ipp-xbrl/2019024909.xbrl;0;None;None
