Sector;Entidad;Ejercicio;Periodo;NombreXBRL;Tamaño(KB);Path;I1040;I1085;I1100;I1195;I1120;I1130;I1200;I1245;I1256;I1265;I1280;I1285;I1288;I1290;I1295;I1305;I1310;I1350;I1400;I2295;I2296;I2297
ENERGÍA Y AGUA;AUDAX RENOVABLES, S.A.;2018;S1;2018090924;1218;<repositoryPath>/2018090924.xbrl;214162000;28929000;243091000;84790000;137983000;20318000;243091000;8108000;-3898000;4182000;4153000;0;4153000;0.03;0.03;4153000;0;-56000;4097000;11;7;4
ENERGÍA Y AGUA;AUDAX RENOVABLES, S.A.;2018;S2;2019026856;4284;<repositoryPath>/2019026856.xbrl;528479000;304420000;832899000;154184000;322761000;355954000;832899000;;;;;;;;;;;;;215;81;134
ENERGÍA Y AGUA;EDP RENOVAVEIS, S.A.;2018;S1;2018091683;8439;<repositoryPath>/2018091683.xbrl;15649866000;987213000;16637079000;7993672000;6996177000;1647230000;16637079000;426510000;-132840000;294708000;240158000;0;240158000;0.16;0.16;240158000;-7255000;0;232903000;194;112;82
ENERGÍA Y AGUA;EDP RENOVAVEIS, S.A.;2018;S2;2019026464;18775;<repositoryPath>/2019026464.xbrl;16186670000;1352040000;17538710000;8122404000;7165816000;2250490000;17538710000;;;;;;;;;;;;;189;110;79
ENERGÍA Y AGUA;ENDESA, S.A.;2018;S1;2018088106;11217;<repositoryPath>/2018088106.xbrl;25745000000;6117000000;31862000000;9328000000;15495000000;7039000000;31862000000;1051000000;-87000000;984000000;756000000;;756000000;0.71;0.71;756000000;-9000000;47000000;794000000;1309;641;668
ENERGÍA Y AGUA;ENDESA, S.A.;2018;S2;2019024902;988;<repositoryPath>/2019024902.xbrl;26001000000;5655000000;31656000000;9181000000;14781000000;7694000000;31656000000;;;;;;;;;;;;;1295;636;659
ENERGÍA Y AGUA;IBERDROLA, S.A.;2018;S1;2018092721;4430;<repositoryPath>/2018092721.xbrl;99114433000;13534261000;112648694000;43785894000;53171373000;15691427000;112648694000;2527263000;-541119000;2010647000;1598379000;-32265000;1566114000;0.226;0.220;1566114000;-652000;168166000;1733628000;717;390;327
ENERGÍA Y AGUA;IBERDROLA, S.A.;2018;S2;2019023725;637;<repositoryPath>/2019023725.xbrl;99695543000;13342380000;113037923000;43976554000;52944929000;16116440000;113037923000;;;;;;;;;;;;;723;392;331
ENERGÍA Y AGUA;NATURGY ENERGY GROUP, S.A.;2018;S1;2018092677;9142;<repositoryPath>/2018092677.xbrl;31851900000;9744501000;41596401000;15220798000;19348836000;7026767000;41596401000;-3223775000;-305851000;-4089019000;-3162939000;-14879000;-3177818000;-3.30;-3.28;-3177818000;-1298000;-401746000;-3580862000;1751;833;918
ENERGÍA Y AGUA;NATURGY ENERGY GROUP, S.A.;2018;S2;2019015863;195;<repositoryPath>/2019015863.xbrl;32300456000;8330104000;40630560000;14594984000;19029444000;7006132000;40630560000;;;;;;;;;;;;;1706;802;904
ENERGÍA Y AGUA;RED ELECTRICA CORPORACION, S.A.;2018;S1;2018096068;3591;<repositoryPath>/2018096068.xbrl;9156420000;2127967000;11284387000;3120358000;6290142000;1873887000;11284387000;540985000;-65249000;475736000;356943000;;356943000;0.66;0.66;356943000;-1445000;8544000;364042000;7;2;5
ENERGÍA Y AGUA;RED ELECTRICA CORPORACION, S.A.;2018;S2;2019022219;169;<repositoryPath>/2019022219.xbrl;9303514000;1958566000;11262080000;3361366000;6336322000;1564392000;11262080000;;;;;;;;;;;;;7;2;5
ENERGÍA Y AGUA;SAINT CROIX HOLDING IMMOBILIER, SOCIMI, S.A.;2018;S1;2018090405;1603;<repositoryPath>/2018090405.xbrl;;;;;;;;;;;;;;;;;;;;2;1;1
ENERGÍA Y AGUA;SAINT CROIX HOLDING IMMOBILIER, SOCIMI, S.A.;2018;S2;2019026494;129;<repositoryPath>/2019026494.xbrl;0;0;0;0;0;0;0;;;;;;;;;;;;;2;1;1
MINERIA;CORPORACION EMPRESARIAL DE MATERIALES DE CONSTRUCCION, S.A.;2018;S1;2018084821;1718;<repositoryPath>/2018084821.xbrl;30730928.63;24423505.82;55154434.45;11356146.40;22986310.92;20811977.13;55154434.45;-932588.74;-320652.88;-1253241.62;-1253241.62;;-1253241.62;-0.01;-0.01;-1253241.62;;;-1253241.62;;;
